Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,19/08/2006,14:50,SHEFFIELD UTD,1,1,LIVERPOOL,,,,,1.0,1.0,2006
ROUND 1,19/08/2006,17:00,ARSENAL,1,1,ASTON VILLA,,,,,1.0,1.0,2006
ROUND 1,19/08/2006,17:00,EVERTON,2,1,WATFORD,,,,,3.0,0.0,2006
ROUND 1,19/08/2006,17:00,WEST HAM,3,1,CHARLTON,,,,,3.0,0.0,2006
ROUND 1,19/08/2006,17:00,NEWCASTLE,2,1,WIGAN,,,,,3.0,0.0,2006
ROUND 1,19/08/2006,17:00,READING,3,2,MIDDLESBROUGH,,,,,3.0,0.0,2006
ROUND 1,19/08/2006,17:00,PORTSMOUTH,3,0,BLACKBURN,,,,,3.0,0.0,2006
ROUND 1,19/08/2006,19:15,BOLTON,2,0,TOTTENHAM,,,,,3.0,0.0,2006
ROUND 1,20/08/2006,15:30,MANCHESTER UTD,5,1,FULHAM,,,,,3.0,0.0,2006
ROUND 1,20/08/2006,18:00,CHELSEA,3,0,MANCHESTER CITY,,,,,3.0,0.0,2006
ROUND 2,22/08/2006,21:45,WATFORD,1,1,WEST HAM,,,,,1.0,1.0,2006
ROUND 2,22/08/2006,22:00,TOTTENHAM,2,0,SHEFFIELD UTD,,,,,3.0,0.0,2006
ROUND 2,23/08/2006,21:45,ASTON VILLA,2,1,READING,,,,,3.0,0.0,2006
ROUND 2,23/08/2006,21:45,MANCHESTER CITY,0,0,PORTSMOUTH,,,,,1.0,1.0,2006
ROUND 2,23/08/2006,22:00,CHARLTON,0,3,MANCHESTER UTD,,,,,0.0,3.0,2006
ROUND 2,23/08/2006,22:00,MIDDLESBROUGH,2,1,CHELSEA,,,,,3.0,0.0,2006
ROUND 2,23/08/2006,22:00,FULHAM,1,1,BOLTON,,,,,1.0,1.0,2006
ROUND 2,23/08/2006,22:00,BLACKBURN,1,1,EVERTON,,,,,1.0,1.0,2006
ROUND 3,26/08/2006,14:45,LIVERPOOL,2,1,WEST HAM,,,,,3.0,0.0,2006
ROUND 3,26/08/2006,17:00,CHARLTON,2,0,BOLTON,,,,,3.0,0.0,2006
ROUND 3,26/08/2006,17:00,FULHAM,1,0,SHEFFIELD UTD,,,,,3.0,0.0,2006
ROUND 3,26/08/2006,17:00,WATFORD,1,2,MANCHESTER UTD,,,,,0.0,3.0,2006
ROUND 3,26/08/2006,17:00,TOTTENHAM,0,2,EVERTON,,,,,0.0,3.0,2006
ROUND 3,26/08/2006,17:00,WIGAN,1,0,READING,,,,,3.0,0.0,2006
ROUND 3,26/08/2006,19:15,MANCHESTER CITY,1,0,ARSENAL,,,,,3.0,0.0,2006
ROUND 3,27/08/2006,16:00,ASTON VILLA,2,0,NEWCASTLE,,,,,3.0,0.0,2006
ROUND 3,27/08/2006,18:00,BLACKBURN,0,2,CHELSEA,,,,,0.0,3.0,2006
ROUND 3,28/08/2006,22:00,MIDDLESBROUGH,0,4,PORTSMOUTH,,,,,0.0,3.0,2006
ROUND 4,09/09/2006,14:45,EVERTON,3,0,LIVERPOOL,,,,,3.0,0.0,2006
ROUND 4,09/09/2006,17:00,NEWCASTLE,1,2,FULHAM,,,,,0.0,3.0,2006
ROUND 4,09/09/2006,17:00,PORTSMOUTH,1,0,WIGAN,,,,,3.0,0.0,2006
ROUND 4,09/09/2006,17:00,SHEFFIELD UTD,0,0,BLACKBURN,,,,,1.0,1.0,2006
ROUND 4,09/09/2006,17:00,CHELSEA,2,1,CHARLTON,,,,,3.0,0.0,2006
ROUND 4,09/09/2006,17:00,BOLTON,1,0,WATFORD,,,,,3.0,0.0,2006
ROUND 4,09/09/2006,17:00,ARSENAL,1,1,MIDDLESBROUGH,,,,,1.0,1.0,2006
ROUND 4,09/09/2006,19:15,MANCHESTER UTD,1,0,TOTTENHAM,,,,,3.0,0.0,2006
ROUND 4,10/09/2006,18:00,WEST HAM,1,1,ASTON VILLA,,,,,1.0,1.0,2006
ROUND 4,11/09/2006,22:00,READING,1,0,MANCHESTER CITY,,,,,3.0,0.0,2006
ROUND 5,16/09/2006,14:45,CHARLTON,0,1,PORTSMOUTH,,,,,0.0,3.0,2006
