Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
group-stage,16/09/2003,22:45,MANCHESTER UTD,5,0,PANATHINAIKOS,,,,,3.0,0.0,2003
group-stage,16/09/2003,22:45,BESIKTAS,0,2,LAZIO,,,,,0.0,3.0,2003
group-stage,16/09/2003,22:45,REAL MADRID,4,2,MARSEILLE,,,,,3.0,0.0,2003
group-stage,16/09/2003,22:45,FK PARTIZAN,1,1,FC PORTO,,,,,1.0,1.0,2003
group-stage,16/09/2003,22:45,RANGERS,2,1,VfB STUTTGART,,,,,3.0,0.0,2003
group-stage,16/09/2003,22:45,SPARTA PRAHA,0,1,CHELSEA,,,,,0.0,3.0,2003
group-stage,16/09/2003,22:45,AC MILAN,1,0,AJAX,,,,,3.0,0.0,2003
group-stage,16/09/2003,22:45,CLUB BRUGGE,1,1,CELTA VIGO,,,,,1.0,1.0,2003
group-stage,17/09/2003,22:45,BAYERN MUNICH,2,1,CELTIC,,,,,3.0,0.0,2003
group-stage,17/09/2003,22:45,AEK ATHENS,1,1,DEPORTIVO LA CORUNA,,,,,1.0,1.0,2003
group-stage,17/09/2003,22:45,DYNAMO KYIV,2,0,LOKOMOTIV MOSCOW,,,,,3.0,0.0,2003
group-stage,17/09/2003,22:45,ARSENAL,0,3,INTER,,,,,0.0,3.0,2003
group-stage,17/09/2003,22:45,LYON,1,0,ANDERLECHT,,,,,3.0,0.0,2003
group-stage,17/09/2003,22:45,REAL SOCIEDAD,1,0,OLYMPIACOS PIRAEUS,,,,,3.0,0.0,2003
group-stage,17/09/2003,22:45,JUVENTUS,2,1,GALATASARAY,,,,,3.0,0.0,2003
group-stage,17/09/2003,22:45,PSV,1,2,MONACO,,,,,0.0,3.0,2003
group-stage,30/09/2003,20:30,LOKOMOTIV MOSCOW,0,0,ARSENAL,,,,,1.0,1.0,2003
group-stage,30/09/2003,22:45,GALATASARAY,1,2,REAL SOCIEDAD,,,,,0.0,3.0,2003
group-stage,30/09/2003,22:45,MONACO,4,0,AEK ATHENS,,,,,3.0,0.0,2003
group-stage,30/09/2003,22:45,DEPORTIVO LA CORUNA,2,0,PSV,,,,,3.0,0.0,2003
group-stage,30/09/2003,22:45,INTER,2,1,DYNAMO KYIV,,,,,3.0,0.0,2003
group-stage,30/09/2003,22:45,CELTIC,2,0,LYON,,,,,3.0,0.0,2003
group-stage,30/09/2003,22:45,ANDERLECHT,1,1,BAYERN MUNICH,,,,,1.0,1.0,2003
group-stage,30/09/2003,22:45,OLYMPIACOS PIRAEUS,1,2,JUVENTUS,,,,,0.0,3.0,2003
group-stage,01/10/2003,22:45,MARSEILLE,3,0,FK PARTIZAN,,,,,3.0,0.0,2003
group-stage,01/10/2003,22:45,AJAX,2,0,CLUB BRUGGE,,,,,3.0,0.0,2003
group-stage,01/10/2003,22:45,LAZIO,2,2,SPARTA PRAHA,,,,,1.0,1.0,2003
group-stage,01/10/2003,22:45,CHELSEA,0,2,BESIKTAS,,,,,0.0,3.0,2003
group-stage,01/10/2003,22:45,FC PORTO,1,3,REAL MADRID,,,,,0.0,3.0,2003
group-stage,01/10/2003,22:45,CELTA VIGO,0,0,AC MILAN,,,,,1.0,1.0,2003
group-stage,01/10/2003,22:45,VfB STUTTGART,2,1,MANCHESTER UTD,,,,,3.0,0.0,2003
group-stage,01/10/2003,22:45,PANATHINAIKOS,1,1,RANGERS,,,,,1.0,1.0,2003
group-stage,21/10/2003,20:30,LOKOMOTIV MOSCOW,3,0,INTER,,,,,3.0,0.0,2003
group-stage,21/10/2003,22:45,DEPORTIVO LA CORUNA,1,0,MONACO,,,,,3.0,0.0,2003
group-stage,21/10/2003,22:45,AEK ATHENS,0,1,PSV,,,,,0.0,3.0,2003
group-stage,21/10/2003,22:45,GALATASARAY,1,0,OLYMPIACOS PIRAEUS,,,,,3.0,0.0,2003
group-stage,21/10/2003,22:45,ANDERLECHT,1,0,CELTIC,,,,,3.0,0.0,2003
group-stage,21/10/2003,22:45,JUVENTUS,4,2,REAL SOCIEDAD,,,,,3.0,0.0,2003
group-stage,21/10/2003,22:45,DYNAMO KYIV,2,1,ARSENAL,,,,,3.0,0.0,2003
group-stage,21/10/2003,22:45,LYON,1,1,BAYERN MUNICH,,,,,1.0,1.0,2003
group-stage,22/10/2003,22:45,VfB STUTTGART,2,0,PANATHINAIKOS,,,,,3.0,0.0,2003
group-stage,22/10/2003,22:45,RANGERS,0,1,MANCHESTER UTD,,,,,0.0,3.0,2003
group-stage,22/10/2003,22:45,SPARTA PRAHA,2,1,BESIKTAS,,,,,3.0,0.0,2003
group-stage,22/10/2003,22:45,CHELSEA,2,1,LAZIO,,,,,3.0,0.0,2003
group-stage,22/10/2003,22:45,REAL MADRID,1,0,FK PARTIZAN,,,,,3.0,0.0,2003
group-stage,22/10/2003,22:45,MARSEILLE,2,3,FC PORTO,,,,,0.0,3.0,2003
group-stage,22/10/2003,22:45,AC MILAN,0,1,CLUB BRUGGE,,,,,0.0,3.0,2003
group-stage,22/10/2003,22:45,AJAX,1,0,CELTA VIGO,,,,,3.0,0.0,2003
group-stage,04/11/2003,21:45,MANCHESTER UTD,3,0,RANGERS,,,,,3.0,0.0,2003
group-stage,04/11/2003,21:45,BESIKTAS,1,0,SPARTA PRAHA,,,,,3.0,0.0,2003
group-stage,04/11/2003,21:45,FC PORTO,1,0,MARSEILLE,,,,,3.0,0.0,2003
group-stage,04/11/2003,21:45,FK PARTIZAN,0,0,REAL MADRID,,,,,1.0,1.0,2003
group-stage,04/11/2003,21:45,PANATHINAIKOS,1,3,VfB STUTTGART,,,,,0.0,3.0,2003
group-stage,04/11/2003,21:45,CLUB BRUGGE,0,1,AC MILAN,,,,,0.0,3.0,2003
group-stage,04/11/2003,21:45,CELTA VIGO,3,2,AJAX,,,,,3.0,0.0,2003
group-stage,04/11/2003,21:45,LAZIO,0,4,CHELSEA,,,,,0.0,3.0,2003
group-stage,05/11/2003,21:45,INTER,1,1,LOKOMOTIV MOSCOW,,,,,1.0,1.0,2003
group-stage,05/11/2003,21:45,ARSENAL,1,0,DYNAMO KYIV,,,,,3.0,0.0,2003
group-stage,05/11/2003,21:45,CELTIC,3,1,ANDERLECHT,,,,,3.0,0.0,2003
group-stage,05/11/2003,21:45,BAYERN MUNICH,1,2,LYON,,,,,0.0,3.0,2003
group-stage,05/11/2003,21:45,REAL SOCIEDAD,0,0,JUVENTUS,,,,,1.0,1.0,2003
group-stage,05/11/2003,21:45,OLYMPIACOS PIRAEUS,3,0,GALATASARAY,,,,,3.0,0.0,2003
group-stage,05/11/2003,21:45,PSV,2,0,AEK ATHENS,,,,,3.0,0.0,2003
group-stage,05/11/2003,21:45,MONACO,8,3,DEPORTIVO LA CORUNA,,,,,3.0,0.0,2003
group-stage,25/11/2003,19:30,LOKOMOTIV MOSCOW,3,2,DYNAMO KYIV,,,,,3.0,0.0,2003
group-stage,25/11/2003,21:45,OLYMPIACOS PIRAEUS,2,2,REAL SOCIEDAD,,,,,1.0,1.0,2003
group-stage,25/11/2003,21:45,INTER,1,5,ARSENAL,,,,,0.0,3.0,2003
group-stage,25/11/2003,21:45,CELTIC,0,0,BAYERN MUNICH,,,,,1.0,1.0,2003
group-stage,25/11/2003,21:45,ANDERLECHT,1,0,LYON,,,,,3.0,0.0,2003
group-stage,25/11/2003,21:45,MONACO,1,1,PSV,,,,,1.0,1.0,2003
group-stage,25/11/2003,21:45,DEPORTIVO LA CORUNA,3,0,AEK ATHENS,,,,,3.0,0.0,2003
group-stage,26/11/2003,21:45,AJAX,0,1,AC MILAN,,,,,0.0,3.0,2003
group-stage,26/11/2003,21:45,LAZIO,1,1,BESIKTAS,,,,,1.0,1.0,2003
group-stage,26/11/2003,21:45,FC PORTO,2,1,FK PARTIZAN,,,,,3.0,0.0,2003
group-stage,26/11/2003,21:45,MARSEILLE,1,2,REAL MADRID,,,,,0.0,3.0,2003
group-stage,26/11/2003,21:45,VfB STUTTGART,1,0,RANGERS,,,,,3.0,0.0,2003
group-stage,26/11/2003,21:45,PANATHINAIKOS,0,1,MANCHESTER UTD,,,,,0.0,3.0,2003
group-stage,26/11/2003,21:45,CHELSEA,0,0,SPARTA PRAHA,,,,,1.0,1.0,2003
group-stage,26/11/2003,21:45,CELTA VIGO,1,1,CLUB BRUGGE,,,,,1.0,1.0,2003
group-stage,02/12/2003,22:00,GALATASARAY,2,0,JUVENTUS,,,,,3.0,0.0,2003
group-stage,09/12/2003,21:45,AC MILAN,1,2,CELTA VIGO,,,,,0.0,3.0,2003
group-stage,09/12/2003,21:45,CLUB BRUGGE,2,1,AJAX,,,,,3.0,0.0,2003
group-stage,09/12/2003,21:45,RANGERS,1,3,PANATHINAIKOS,,,,,0.0,3.0,2003
group-stage,09/12/2003,21:45,MANCHESTER UTD,2,0,VfB STUTTGART,,,,,3.0,0.0,2003
