Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
group-stage,20/09/2018,19:55,RAPID VIENNA,2,0,SPARTAK MOSCOW,,,,,3.0,0.0,2018
group-stage,20/09/2018,19:55,MARSEILLE,1,2,EINTRACHT FRANKFURT,,,,,0.0,3.0,2018
group-stage,20/09/2018,19:55,LAZIO,2,1,APOLLON LIMASSOL,,,,,3.0,0.0,2018
group-stage,20/09/2018,19:55,RENNES,2,1,FK JABLONEC,,,,,3.0,0.0,2018
group-stage,20/09/2018,19:55,DYNAMO KYIV,2,2,FC ASTANA,,,,,1.0,1.0,2018
group-stage,20/09/2018,19:55,BESIKTAS,3,1,SARPSBORG 08 FF,,,,,3.0,0.0,2018
group-stage,20/09/2018,19:55,GENK,2,0,MALMO FF,,,,,3.0,0.0,2018
group-stage,20/09/2018,19:55,MOL FEHERVAR FC,0,2,BATE BORISOV,,,,,0.0,3.0,2018
group-stage,20/09/2018,19:55,PAOK,0,1,CHELSEA,,,,,0.0,3.0,2018
group-stage,20/09/2018,19:55,SEVILLA,5,1,STANDARD LIEGE,,,,,3.0,0.0,2018
group-stage,20/09/2018,19:55,AKHISAR BELEDIYE,0,1,KRASNODAR,,,,,0.0,3.0,2018
group-stage,20/09/2018,19:55,VILLARREAL,2,2,RANGERS,,,,,1.0,1.0,2018
group-stage,20/09/2018,22:00,SPARTAK TRNAVA,1,0,ANDERLECHT,,,,,3.0,0.0,2018
group-stage,20/09/2018,22:00,LUDOGORETS,2,3,BAYER LEVERKUSEN,,,,,0.0,3.0,2018
group-stage,20/09/2018,22:00,A. E. KITION LARNACA,0,1,FC ZURICH,,,,,0.0,3.0,2018
group-stage,20/09/2018,22:00,DINAMO ZAGREB,4,1,FENERBAHCE,,,,,3.0,0.0,2018
group-stage,20/09/2018,22:00,CELTIC,1,0,ROSENBORG,,,,,3.0,0.0,2018
group-stage,20/09/2018,22:00,RB LEIPZIG,2,3,RED BULL SALZBURG,,,,,0.0,3.0,2018
group-stage,20/09/2018,22:00,SPORTING CP,2,0,QARABAG,,,,,3.0,0.0,2018
group-stage,20/09/2018,22:00,ARSENAL,4,2,VORSKLA POLTAVA,,,,,3.0,0.0,2018
group-stage,20/09/2018,22:00,FC COPENHAGEN,1,1,ZENIT SAINT PETERSBURG,,,,,1.0,1.0,2018
group-stage,20/09/2018,22:00,SLAVIA PRAHA,1,0,BORDEAUX,,,,,3.0,0.0,2018
group-stage,20/09/2018,22:00,F91 DUDELANGE,0,1,AC MILAN,,,,,0.0,3.0,2018
group-stage,20/09/2018,22:00,OLYMPIACOS PIRAEUS,0,0,BETIS,,,,,1.0,1.0,2018
group-stage,04/10/2018,17:50,FC ASTANA,2,0,RENNES,,,,,3.0,0.0,2018
group-stage,04/10/2018,19:55,BORDEAUX,1,2,FC COPENHAGEN,,,,,0.0,3.0,2018
group-stage,04/10/2018,19:55,ZENIT SAINT PETERSBURG,1,0,SLAVIA PRAHA,,,,,3.0,0.0,2018
group-stage,04/10/2018,19:55,FC ZURICH,1,0,LUDOGORETS,,,,,3.0,0.0,2018
group-stage,04/10/2018,19:55,BAYER LEVERKUSEN,4,2,A. E. KITION LARNACA,,,,,3.0,0.0,2018
group-stage,04/10/2018,19:55,ANDERLECHT,0,2,DINAMO ZAGREB,,,,,0.0,3.0,2018
group-stage,04/10/2018,19:55,FENERBAHCE,2,0,SPARTAK TRNAVA,,,,,3.0,0.0,2018
group-stage,04/10/2018,19:55,ROSENBORG,1,3,RB LEIPZIG,,,,,0.0,3.0,2018
group-stage,04/10/2018,19:55,VORSKLA POLTAVA,1,2,SPORTING CP,,,,,0.0,3.0,2018
group-stage,04/10/2018,19:55,RED BULL SALZBURG,3,1,CELTIC,,,,,3.0,0.0,2018
group-stage,04/10/2018,19:55,QARABAG,0,3,ARSENAL,,,,,0.0,3.0,2018
group-stage,04/10/2018,19:55,BETIS,3,0,F91 DUDELANGE,,,,,3.0,0.0,2018
group-stage,04/10/2018,19:55,AC MILAN,3,1,OLYMPIACOS PIRAEUS,,,,,3.0,0.0,2018
group-stage,04/10/2018,22:00,SPARTAK MOSCOW,3,3,VILLARREAL,,,,,1.0,1.0,2018
group-stage,04/10/2018,22:00,RANGERS,3,1,RAPID VIENNA,,,,,3.0,0.0,2018
group-stage,04/10/2018,22:00,EINTRACHT FRANKFURT,4,1,LAZIO,,,,,3.0,0.0,2018
group-stage,04/10/2018,22:00,APOLLON LIMASSOL,2,2,MARSEILLE,,,,,1.0,1.0,2018
group-stage,04/10/2018,22:00,FK JABLONEC,2,2,DYNAMO KYIV,,,,,1.0,1.0,2018
group-stage,04/10/2018,22:00,MALMO FF,2,0,BESIKTAS,,,,,3.0,0.0,2018
group-stage,04/10/2018,22:00,BATE BORISOV,1,4,PAOK,,,,,0.0,3.0,2018
group-stage,04/10/2018,22:00,CHELSEA,1,0,MOL FEHERVAR FC,,,,,3.0,0.0,2018
group-stage,04/10/2018,22:00,SARPSBORG 08 FF,3,1,GENK,,,,,3.0,0.0,2018
group-stage,04/10/2018,22:00,KRASNODAR,2,1,SEVILLA,,,,,3.0,0.0,2018
group-stage,04/10/2018,22:00,STANDARD LIEGE,2,1,AKHISAR BELEDIYE,,,,,3.0,0.0,2018
group-stage,25/10/2018,19:55,ZENIT SAINT PETERSBURG,2,1,BORDEAUX,,,,,3.0,0.0,2018
group-stage,25/10/2018,19:55,FC COPENHAGEN,0,1,SLAVIA PRAHA,,,,,0.0,3.0,2018
group-stage,25/10/2018,19:55,ANDERLECHT,2,2,FENERBAHCE,,,,,1.0,1.0,2018
group-stage,25/10/2018,19:55,A. E. KITION LARNACA,1,1,LUDOGORETS,,,,,1.0,1.0,2018
group-stage,25/10/2018,19:55,FC ZURICH,3,2,BAYER LEVERKUSEN,,,,,3.0,0.0,2018
group-stage,25/10/2018,19:55,SPARTAK TRNAVA,1,2,DINAMO ZAGREB,,,,,0.0,3.0,2018
group-stage,25/10/2018,19:55,SPORTING CP,0,1,ARSENAL,,,,,0.0,3.0,2018
group-stage,25/10/2018,19:55,QARABAG,0,1,VORSKLA POLTAVA,,,,,0.0,3.0,2018
group-stage,25/10/2018,19:55,RED BULL SALZBURG,3,0,ROSENBORG,,,,,3.0,0.0,2018
group-stage,25/10/2018,19:55,RB LEIPZIG,2,0,CELTIC,,,,,3.0,0.0,2018
group-stage,25/10/2018,19:55,AC MILAN,1,2,BETIS,,,,,0.0,3.0,2018
group-stage,25/10/2018,19:55,F91 DUDELANGE,0,2,OLYMPIACOS PIRAEUS,,,,,0.0,3.0,2018
group-stage,25/10/2018,22:00,RANGERS,0,0,SPARTAK MOSCOW,,,,,1.0,1.0,2018
group-stage,25/10/2018,22:00,VILLARREAL,5,0,RAPID VIENNA,,,,,3.0,0.0,2018
group-stage,25/10/2018,22:00,EINTRACHT FRANKFURT,2,0,APOLLON LIMASSOL,,,,,3.0,0.0,2018
group-stage,25/10/2018,22:00,MARSEILLE,1,3,LAZIO,,,,,0.0,3.0,2018
group-stage,25/10/2018,22:00,FK JABLONEC,1,1,FC ASTANA,,,,,1.0,1.0,2018
group-stage,25/10/2018,22:00,RENNES,1,2,DYNAMO KYIV,,,,,0.0,3.0,2018
group-stage,25/10/2018,22:00,CHELSEA,3,1,BATE BORISOV,,,,,3.0,0.0,2018
group-stage,25/10/2018,22:00,BESIKTAS,2,4,GENK,,,,,0.0,3.0,2018
group-stage,25/10/2018,22:00,SARPSBORG 08 FF,1,1,MALMO FF,,,,,1.0,1.0,2018
group-stage,25/10/2018,22:00,PAOK,0,2,MOL FEHERVAR FC,,,,,0.0,3.0,2018
group-stage,25/10/2018,22:00,STANDARD LIEGE,2,1,KRASNODAR,,,,,3.0,0.0,2018
group-stage,25/10/2018,22:00,SEVILLA,6,0,AKHISAR BELEDIYE,,,,,3.0,0.0,2018
group-stage,08/11/2018,17:50,FC ASTANA,2,1,FK JABLONEC,,,,,3.0,0.0,2018
group-stage,08/11/2018,17:50,FENERBAHCE,2,0,ANDERLECHT,,,,,3.0,0.0,2018
group-stage,08/11/2018,19:55,SPARTAK MOSCOW,4,3,RANGERS,,,,,3.0,0.0,2018
group-stage,08/11/2018,19:55,RAPID VIENNA,0,0,VILLARREAL,,,,,1.0,1.0,2018
group-stage,08/11/2018,19:55,APOLLON LIMASSOL,2,3,EINTRACHT FRANKFURT,,,,,0.0,3.0,2018
group-stage,08/11/2018,19:55,LAZIO,2,1,MARSEILLE,,,,,3.0,0.0,2018
group-stage,08/11/2018,19:55,DYNAMO KYIV,3,1,RENNES,,,,,3.0,0.0,2018
group-stage,08/11/2018,19:55,MALMO FF,1,1,SARPSBORG 08 FF,,,,,1.0,1.0,2018
group-stage,08/11/2018,19:55,GENK,1,1,BESIKTAS,,,,,1.0,1.0,2018
group-stage,08/11/2018,19:55,MOL FEHERVAR FC,1,0,PAOK,,,,,3.0,0.0,2018
group-stage,08/11/2018,19:55,BATE BORISOV,0,1,CHELSEA,,,,,0.0,3.0,2018
group-stage,08/11/2018,19:55,KRASNODAR,2,1,STANDARD LIEGE,,,,,3.0,0.0,2018
group-stage,08/11/2018,19:55,AKHISAR BELEDIYE,2,3,SEVILLA,,,,,0.0,3.0,2018
