Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
round-64,07/01/2005,20:00,LILLE,2,1,LE MANS,,,,,3.0,0.0,2004
round-64,07/01/2005,20:15,SEDAN,3,1,STRASBOURG,,,,,3.0,0.0,2004
round-64,07/01/2005,21:00,NANCY,1,1,AJACCIO,1,1,4,5,0.0,3.0,2004
round-64,07/01/2005,21:00,CHATEAUROUX,2,2,GRENOBLE FOOT 38,2,3,,,0.0,3.0,2004
round-64,07/01/2005,22:00,RENNES,0,0,STADE BRESTOIS 29,1,0,,,3.0,0.0,2004
round-64,08/01/2005,16:00,SCHILTIGHEIM,0,2,REIMS,,,,,0.0,3.0,2004
round-64,08/01/2005,16:00,MULHOUSE,0,2,CAEN,,,,,0.0,3.0,2004
round-64,08/01/2005,16:00,VIRY-CHATILLON,0,2,LYON,,,,,0.0,3.0,2004
round-64,08/01/2005,16:00,VESOUL,1,1,CLERMONT FOOT 63,1,1,5,6,0.0,3.0,2004
round-64,08/01/2005,16:30,TARBES PYRENEES,0,0,VANNES,0,3,,,0.0,3.0,2004
round-64,08/01/2005,17:00,BEAUVAIS,0,4,NICE,,,,,0.0,3.0,2004
round-64,08/01/2005,18:00,SEYSSINET AC,0,7,MONACO,,,,,0.0,3.0,2004
round-64,08/01/2005,18:00,RHONE VALLEE,0,0,RAPID OM. DE,0,0,3,1,3.0,0.0,2004
round-64,08/01/2005,18:00,MARSEILLE,2,3,ANGERS,,,,,0.0,3.0,2004
round-64,08/01/2005,19:00,EPINAL,0,0,BLOIS F.41,0,1,,,0.0,3.0,2004
round-64,08/01/2005,19:00,TOULON,3,0,MONTCEAU BOURGOGNE,,,,,3.0,0.0,2004
round-64,08/01/2005,19:00,BOULOGNE,0,0,AVRANCHES,1,0,,,3.0,0.0,2004
round-64,08/01/2005,19:00,INZINZAC MONT,2,0,PONTIVY GSI,,,,,3.0,0.0,2004
round-64,08/01/2005,19:00,ESTAC TROYES,1,3,ALBI,,,,,0.0,3.0,2004
round-64,08/01/2005,19:00,CALAIS,0,1,AUXERRE,,,,,0.0,3.0,2004
round-64,08/01/2005,19:00,GAMBSHEIM,0,3,TOULOUSE,,,,,0.0,3.0,2004
round-64,08/01/2005,20:00,SAINT DIZIER,0,4,LENS,,,,,0.0,3.0,2004
round-64,08/01/2005,20:00,QUEVILLY,1,0,GUINGAMP,,,,,3.0,0.0,2004
round-64,08/01/2005,20:30,RODEZ,1,2,METZ,,,,,0.0,3.0,2004
round-64,08/01/2005,21:00,COURNON,0,3,NANTES,,,,,0.0,3.0,2004
round-64,08/01/2005,21:00,LA FLECHE,1,2,LIBOURNE ST SEURIN,,,,,0.0,3.0,2004
round-64,08/01/2005,21:00,SAUMUR,2,2,RACING COLOMBES,2,2,4,3,3.0,0.0,2004
round-64,08/01/2005,21:00,BORDEAUX,2,0,ISTRES,,,,,3.0,0.0,2004
round-64,08/01/2005,21:00,U.S. LANGUEUX,1,6,PARIS SAINT GERMAIN,,,,,0.0,3.0,2004
round-64,08/01/2005,21:45,SOCHAUX,1,0,BASTIA,,,,,3.0,0.0,2004
round-64,09/01/2005,16:00,HAGUENAU,0,0,ROMORANTIN,1,2,,,0.0,3.0,2004
round-64,09/01/2005,16:15,NIMES,3,2,ST ETIENNE,,,,,3.0,0.0,2004
round-32,11/02/2005,21:45,NICE,1,1,REIMS,3,1,,,3.0,0.0,2004
round-32,12/02/2005,15:35,ALBI,0,0,ANGERS,2,0,,,3.0,0.0,2004
round-32,12/02/2005,19:00,LIBOURNE ST SEURIN,2,4,MONACO,,,,,0.0,3.0,2004
round-32,12/02/2005,19:00,NIMES,1,1,AJACCIO,1,1,4,2,3.0,0.0,2004
round-32,12/02/2005,19:00,SEDAN,4,0,INZINZAC MONT,,,,,3.0,0.0,2004
round-32,12/02/2005,19:00,BOULOGNE,4,0,BLOIS F.41,,,,,3.0,0.0,2004
round-32,12/02/2005,19:00,CLERMONT FOOT 63,1,0,TOULON,,,,,3.0,0.0,2004
round-32,12/02/2005,19:00,RHONE VALLEE,1,2,GRENOBLE FOOT 38,,,,,0.0,3.0,2004
round-32,12/02/2005,20:00,ROMORANTIN,0,1,QUEVILLY,,,,,0.0,3.0,2004
round-32,12/02/2005,20:30,VANNES,0,2,AUXERRE,,,,,0.0,3.0,2004
round-32,12/02/2005,21:00,METZ,0,1,SOCHAUX,,,,,0.0,3.0,2004
round-32,12/02/2005,21:00,SAUMUR,0,2,NANTES,,,,,0.0,3.0,2004
round-32,12/02/2005,21:00,RENNES,2,0,CAEN,,,,,3.0,0.0,2004
