Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,09/08/2019,21:45,MONACO,0,3,LYON,,,,,0.0,3.0,2019
ROUND 1,10/08/2019,18:30,MARSEILLE,0,2,REIMS,,,,,0.0,3.0,2019
ROUND 1,10/08/2019,21:00,STADE BRESTOIS 29,1,1,TOULOUSE,,,,,1.0,1.0,2019
ROUND 1,10/08/2019,21:00,MONTPELLIER,0,1,RENNES,,,,,0.0,3.0,2019
ROUND 1,10/08/2019,21:00,ANGERS,3,1,BORDEAUX,,,,,3.0,0.0,2019
ROUND 1,10/08/2019,21:00,DIJON,1,2,ST ETIENNE,,,,,0.0,3.0,2019
ROUND 1,10/08/2019,21:00,NICE,2,1,AMIENS,,,,,3.0,0.0,2019
ROUND 1,11/08/2019,16:00,LILLE,2,1,NANTES,,,,,3.0,0.0,2019
ROUND 1,11/08/2019,18:00,STRASBOURG,1,1,METZ,,,,,1.0,1.0,2019
ROUND 1,11/08/2019,22:00,PARIS SAINT GERMAIN,3,0,NIMES,,,,,3.0,0.0,2019
ROUND 2,16/08/2019,21:45,LYON,6,0,ANGERS,,,,,3.0,0.0,2019
ROUND 2,17/08/2019,18:30,NANTES,0,0,MARSEILLE,,,,,1.0,1.0,2019
ROUND 2,17/08/2019,21:00,TOULOUSE,1,0,DIJON,,,,,3.0,0.0,2019
ROUND 2,17/08/2019,21:00,METZ,3,0,MONACO,,,,,3.0,0.0,2019
ROUND 2,17/08/2019,21:00,NIMES,1,2,NICE,,,,,0.0,3.0,2019
ROUND 2,17/08/2019,21:00,BORDEAUX,1,1,MONTPELLIER,,,,,1.0,1.0,2019
ROUND 2,17/08/2019,21:00,AMIENS,1,0,LILLE,,,,,3.0,0.0,2019
ROUND 2,18/08/2019,16:00,ST ETIENNE,1,1,STADE BRESTOIS 29,,,,,1.0,1.0,2019
ROUND 2,18/08/2019,18:00,REIMS,0,0,STRASBOURG,,,,,1.0,1.0,2019
ROUND 2,18/08/2019,22:00,RENNES,2,1,PARIS SAINT GERMAIN,,,,,3.0,0.0,2019
ROUND 3,24/08/2019,21:00,AMIENS,1,2,NANTES,,,,,0.0,3.0,2019
ROUND 3,24/08/2019,21:00,DIJON,0,2,BORDEAUX,,,,,0.0,3.0,2019
ROUND 3,24/08/2019,21:00,STADE BRESTOIS 29,1,0,REIMS,,,,,3.0,0.0,2019
ROUND 3,24/08/2019,21:00,ANGERS,3,0,METZ,,,,,3.0,0.0,2019
ROUND 3,25/08/2019,16:00,MONACO,2,2,NIMES,,,,,1.0,1.0,2019
ROUND 3,25/08/2019,18:00,STRASBOURG,0,2,RENNES,,,,,0.0,3.0,2019
ROUND 3,25/08/2019,22:00,PARIS SAINT GERMAIN,4,0,TOULOUSE,,,,,3.0,0.0,2019
ROUND 3,27/08/2019,20:00,MONTPELLIER,1,0,LYON,,,,,3.0,0.0,2019
ROUND 3,28/08/2019,20:00,LILLE,3,0,ST ETIENNE,,,,,3.0,0.0,2019
ROUND 3,28/08/2019,22:00,NICE,1,2,MARSEILLE,,,,,0.0,3.0,2019
ROUND 4,30/08/2019,21:45,METZ,0,2,PARIS SAINT GERMAIN,,,,,0.0,3.0,2019
ROUND 4,31/08/2019,18:30,LYON,1,1,BORDEAUX,,,,,1.0,1.0,2019
ROUND 4,31/08/2019,21:00,NIMES,3,0,STADE BRESTOIS 29,,,,,3.0,0.0,2019
ROUND 4,31/08/2019,21:00,TOULOUSE,2,0,AMIENS,,,,,3.0,0.0,2019
ROUND 4,31/08/2019,21:00,NANTES,1,0,MONTPELLIER,,,,,3.0,0.0,2019
ROUND 4,31/08/2019,21:00,ANGERS,2,0,DIJON,,,,,3.0,0.0,2019
ROUND 4,01/09/2019,16:00,REIMS,2,0,LILLE,,,,,3.0,0.0,2019
ROUND 4,01/09/2019,16:00,RENNES,1,2,NICE,,,,,0.0,3.0,2019
ROUND 4,01/09/2019,18:00,STRASBOURG,2,2,MONACO,,,,,1.0,1.0,2019
