Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,18/08/2017,21:30,BAYERN MUNICH,3,1,BAYER LEVERKUSEN,,,,,3.0,0.0,2017
ROUND 1,19/08/2017,16:30,FSV MAINZ 05,0,1,HANNOVER 96,,,,,0.0,3.0,2017
ROUND 1,19/08/2017,16:30,VfL WOLFSBURG,0,3,BORUSSIA DORTMUND,,,,,0.0,3.0,2017
ROUND 1,19/08/2017,16:30,HAMBURGER SV,1,0,FC AUGSBURG,,,,,3.0,0.0,2017
ROUND 1,19/08/2017,16:30,1899 HOFFENHEIM,1,0,WERDER BREMEN,,,,,3.0,0.0,2017
ROUND 1,19/08/2017,16:30,HERTHA BERLIN,2,0,VfB STUTTGART,,,,,3.0,0.0,2017
ROUND 1,19/08/2017,19:30,FC SCHALKE 04,2,0,RB LEIPZIG,,,,,3.0,0.0,2017
ROUND 1,20/08/2017,16:30,SC FREIBURG,0,0,EINTRACHT FRANKFURT,,,,,1.0,1.0,2017
ROUND 1,20/08/2017,19:00,BORUSSIA MONCHENGLADBACH,1,0,FC KOLN,,,,,3.0,0.0,2017
ROUND 2,25/08/2017,21:30,FC KOLN,1,3,HAMBURGER SV,,,,,0.0,3.0,2017
ROUND 2,26/08/2017,16:30,VfB STUTTGART,1,0,FSV MAINZ 05,,,,,3.0,0.0,2017
ROUND 2,26/08/2017,16:30,BAYER LEVERKUSEN,2,2,1899 HOFFENHEIM,,,,,1.0,1.0,2017
ROUND 2,26/08/2017,16:30,FC AUGSBURG,2,2,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2017
ROUND 2,26/08/2017,16:30,EINTRACHT FRANKFURT,0,1,VfL WOLFSBURG,,,,,0.0,3.0,2017
ROUND 2,26/08/2017,16:30,WERDER BREMEN,0,2,BAYERN MUNICH,,,,,0.0,3.0,2017
ROUND 2,26/08/2017,19:30,BORUSSIA DORTMUND,2,0,HERTHA BERLIN,,,,,3.0,0.0,2017
ROUND 2,27/08/2017,16:30,RB LEIPZIG,4,1,SC FREIBURG,,,,,3.0,0.0,2017
ROUND 2,27/08/2017,19:00,HANNOVER 96,1,0,FC SCHALKE 04,,,,,3.0,0.0,2017
ROUND 3,08/09/2017,21:30,HAMBURGER SV,0,2,RB LEIPZIG,,,,,0.0,3.0,2017
ROUND 3,09/09/2017,16:30,BORUSSIA MONCHENGLADBACH,0,1,EINTRACHT FRANKFURT,,,,,0.0,3.0,2017
ROUND 3,09/09/2017,16:30,VfL WOLFSBURG,1,1,HANNOVER 96,,,,,1.0,1.0,2017
ROUND 3,09/09/2017,16:30,FSV MAINZ 05,3,1,BAYER LEVERKUSEN,,,,,3.0,0.0,2017
ROUND 3,09/09/2017,16:30,FC AUGSBURG,3,0,FC KOLN,,,,,3.0,0.0,2017
ROUND 3,09/09/2017,16:30,SC FREIBURG,0,0,BORUSSIA DORTMUND,,,,,1.0,1.0,2017
ROUND 3,09/09/2017,19:30,1899 HOFFENHEIM,2,0,BAYERN MUNICH,,,,,3.0,0.0,2017
ROUND 3,10/09/2017,16:30,HERTHA BERLIN,1,1,WERDER BREMEN,,,,,1.0,1.0,2017
ROUND 3,10/09/2017,19:00,FC SCHALKE 04,3,1,VfB STUTTGART,,,,,3.0,0.0,2017
ROUND 4,15/09/2017,21:30,HANNOVER 96,2,0,HAMBURGER SV,,,,,3.0,0.0,2017
ROUND 4,16/09/2017,16:30,BAYERN MUNICH,4,0,FSV MAINZ 05,,,,,3.0,0.0,2017
ROUND 4,16/09/2017,16:30,VfB STUTTGART,1,0,VfL WOLFSBURG,,,,,3.0,0.0,2017
ROUND 4,16/09/2017,16:30,EINTRACHT FRANKFURT,1,2,FC AUGSBURG,,,,,0.0,3.0,2017
ROUND 4,16/09/2017,16:30,WERDER BREMEN,1,2,FC SCHALKE 04,,,,,0.0,3.0,2017
ROUND 4,16/09/2017,19:30,RB LEIPZIG,2,2,BORUSSIA MONCHENGLADBACH,,,,,1.0,1.0,2017
ROUND 4,17/09/2017,14:30,1899 HOFFENHEIM,1,1,HERTHA BERLIN,,,,,1.0,1.0,2017
ROUND 4,17/09/2017,16:30,BAYER LEVERKUSEN,4,0,SC FREIBURG,,,,,3.0,0.0,2017
ROUND 4,17/09/2017,19:00,BORUSSIA DORTMUND,5,0,FC KOLN,,,,,3.0,0.0,2017
ROUND 5,19/09/2017,19:30,BORUSSIA MONCHENGLADBACH,2,0,VfB STUTTGART,,,,,3.0,0.0,2017
ROUND 5,19/09/2017,21:30,VfL WOLFSBURG,1,1,WERDER BREMEN,,,,,1.0,1.0,2017
ROUND 5,19/09/2017,21:30,FC AUGSBURG,1,0,RB LEIPZIG,,,,,3.0,0.0,2017
ROUND 5,19/09/2017,21:30,FC SCHALKE 04,0,3,BAYERN MUNICH,,,,,0.0,3.0,2017
ROUND 5,20/09/2017,19:30,FC KOLN,0,1,EINTRACHT FRANKFURT,,,,,0.0,3.0,2017
ROUND 5,20/09/2017,21:30,FSV MAINZ 05,2,3,1899 HOFFENHEIM,,,,,0.0,3.0,2017
ROUND 5,20/09/2017,21:30,HAMBURGER SV,0,3,BORUSSIA DORTMUND,,,,,0.0,3.0,2017
