Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
first-round,08/09/2006,20:00,SV SANDHAUSEN,0,2,SpVgg GREUTHER FURTH,,,,,0.0,3.0,2006
first-round,08/09/2006,20:00,VfL OSNABRUCK,3,1,EINTRACHT BRAUNSCHWEIG,,,,,3.0,0.0,2006
first-round,09/09/2006,15:00,SC WESTFALIA HERNE,1,2,ERZGEBIRGE AUE,,,,,0.0,3.0,2006
first-round,09/09/2006,15:00,FC MAGDEBURG,1,1,SC PADERBORN 07,1,1,6,7,0.0,3.0,2006
first-round,09/09/2006,15:30,SpVgg BAYREUTH,0,2,KICKERS OFFENBACH,,,,,0.0,3.0,2006
first-round,09/09/2006,15:30,TENNIS BOR. BERLIN,1,3,KARLSRUHER SC,,,,,0.0,3.0,2006
first-round,09/09/2006,16:00,DYNAMO DRESDEN,2,3,HANNOVER 96,,,,,0.0,3.0,2006
first-round,09/09/2006,16:30,DELBRUCKER SC,2,4,SC FREIBURG,,,,,0.0,3.0,2006
first-round,09/09/2006,16:30,BV CLOPPENBURG,0,1,FC NURNBERG,,,,,0.0,3.0,2006
first-round,09/09/2006,16:30,FK PIRMASENS,1,1,WERDER BREMEN,1,1,4,2,3.0,0.0,2006
first-round,09/09/2006,16:30,FC GERA 03,0,2,FC KAISERSLAUTERN,,,,,0.0,3.0,2006
first-round,09/09/2006,16:30,TUS KOBLENZ,1,1,BAYER LEVERKUSEN,2,2,1,3,0.0,3.0,2006
first-round,09/09/2006,16:30,ROT-WEISS ESSEN,1,0,ENERGIE COTTBUS,,,,,3.0,0.0,2006
first-round,09/09/2006,16:30,STUTTGARTER KICKERS,3,3,HAMBURGER SV,4,3,,,3.0,0.0,2006
first-round,09/09/2006,16:30,TSG THANNHAUSEN,0,3,BORUSSIA DORTMUND,,,,,0.0,3.0,2006
first-round,09/09/2006,16:30,HANSA ROSTOCK II,1,9,FC SCHALKE 04,,,,,0.0,3.0,2006
first-round,09/09/2006,19:00,FC AUGSBURG,3,3,WACKER BURGHAUSEN,3,4,,,0.0,3.0,2006
first-round,09/09/2006,19:30,SPORTFREUNDE SIEGEN,0,2,EINTRACHT FRANKFURT,,,,,0.0,3.0,2006
first-round,09/09/2006,19:30,FC 08 HOMBURG,1,2,VfL BOCHUM,,,,,0.0,3.0,2006
first-round,09/09/2006,19:30,AL. AACHEN (AM),0,4,VfB STUTTGART,,,,,0.0,3.0,2006
first-round,09/09/2006,21:25,FC ST. PAULI,1,1,BAYERN MUNICH,1,2,,,0.0,3.0,2006
first-round,10/09/2006,16:00,CARL ZEISS JENA,1,2,FC KOLN,,,,,0.0,3.0,2006
first-round,10/09/2006,16:00,SSVg VELBERT,0,3,SpVgg UNTERHACHING,,,,,0.0,3.0,2006
first-round,10/09/2006,16:00,SV BABELSBERG 03,2,1,HANSA ROSTOCK,,,,,3.0,0.0,2006
first-round,10/09/2006,16:00,VfB LUBECK,1,0,TSV 1860 MUNICH,,,,,3.0,0.0,2006
first-round,10/09/2006,16:00,ROT-WEISS AHLEN,1,2,MSV DUISBURG,,,,,0.0,3.0,2006
first-round,10/09/2006,16:00,SV ROSSBACH,1,4,BORUSSIA MONCHENGLADBACH,,,,,0.0,3.0,2006
first-round,10/09/2006,16:30,FC BREMERHAVEN,1,3,VfL WOLFSBURG,,,,,0.0,3.0,2006
first-round,10/09/2006,18:00,CHEMNITZER FC,0,2,ALEMANNIA AACHEN,,,,,0.0,3.0,2006
first-round,10/09/2006,18:00,FC SAARBRUCKEN,1,0,FSV MAINZ 05,,,,,3.0,0.0,2006
first-round,10/09/2006,18:00,SV DARMSTADT 98,0,0,HERTHA BERLIN,0,1,,,0.0,3.0,2006
first-round,10/09/2006,18:00,SC PFULLENDORF,2,1,ARMINIA BIELEFELD,,,,,3.0,0.0,2006
third-round,19/12/2006,20:30,EINTRACHT FRANKFURT,1,1,FC KOLN,3,1,,,3.0,0.0,2006
third-round,19/12/2006,20:30,FC NURNBERG,0,0,SpVgg UNTERHACHING,0,0,2,1,3.0,0.0,2006
third-round,19/12/2006,20:30,VfL OSNABRUCK,0,3,HERTHA BERLIN,,,,,0.0,3.0,2006
third-round,19/12/2006,20:30,VfL BOCHUM,1,4,VfB STUTTGART,,,,,0.0,3.0,2006
third-round,20/12/2006,20:00,HANNOVER 96,1,0,MSV DUISBURG,,,,,3.0,0.0,2006
third-round,20/12/2006,20:00,KICKERS OFFENBACH,2,1,WACKER BURGHAUSEN,,,,,3.0,0.0,2006
third-round,20/12/2006,20:00,SpVgg GREUTHER FURTH,1,3,VfL WOLFSBURG,,,,,0.0,3.0,2006
third-round,20/12/2006,21:30,ALEMANNIA AACHEN,4,2,BAYERN MUNICH,,,,,3.0,0.0,2006
quarter-finals,27/02/2007,20:00,VfL WOLFSBURG,2,0,ALEMANNIA AACHEN,,,,,3.0,0.0,2006
quarter-finals,27/02/2007,20:00,FC NURNBERG,0,0,HANNOVER 96,0,0,4,2,3.0,0.0,2006
quarter-finals,27/02/2007,21:30,KICKERS OFFENBACH,0,3,EINTRACHT FRANKFURT,,,,,0.0,3.0,2006
quarter-finals,28/02/2007,21:35,VfB STUTTGART,2,0,HERTHA BERLIN,,,,,3.0,0.0,2006
semi-finals,17/04/2007,21:35,FC NURNBERG,4,0,EINTRACHT FRANKFURT,,,,,3.0,0.0,2006
semi-finals,18/04/2007,21:30,VfL WOLFSBURG,0,1,VfB STUTTGART,,,,,0.0,3.0,2006
