Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
second-round,05/08/2016,22:00,VERONA,2,1,FOGGIA,,,,,3.0,0.0,2016
second-round,06/08/2016,18:30,CARPI,3,2,MACERATESE,,,,,3.0,0.0,2016
second-round,06/08/2016,21:30,SPEZIA,1,0,MODENA,,,,,3.0,0.0,2016
second-round,07/08/2016,19:30,SPAL,2,0,ACR MESSINA,,,,,3.0,0.0,2016
second-round,07/08/2016,19:30,VICENZA,4,2,CASERTANA,,,,,3.0,0.0,2016
second-round,07/08/2016,21:00,BASSANO VIRTUS,2,0,AVELLINO,,,,,3.0,0.0,2016
second-round,07/08/2016,21:00,CITTADELLA,1,1,CREMONESE,1,2,,,0.0,3.0,2016
second-round,07/08/2016,21:30,BRESCIA,0,2,PISA,,,,,0.0,3.0,2016
second-round,07/08/2016,21:30,PRO VERCELLI,3,1,REGGIANA,,,,,3.0,0.0,2016
second-round,07/08/2016,21:30,FROSINONE,3,0,COMO,,,,,3.0,0.0,2016
second-round,07/08/2016,21:30,VIRTUS ENTELLA,2,0,ANCONA,,,,,3.0,0.0,2016
second-round,07/08/2016,21:30,NOVARA,2,1,JUVE STABIA,,,,,3.0,0.0,2016
second-round,07/08/2016,21:30,TERNANA,0,0,PORDENONE,2,0,,,3.0,0.0,2016
second-round,07/08/2016,21:30,TRAPANI,3,0,SEREGNO,,,,,3.0,0.0,2016
second-round,07/08/2016,21:30,BENEVENTO,0,0,SALERNITANA,0,0,2,4,0.0,3.0,2016
second-round,07/08/2016,21:30,BARI,1,0,COSENZA,,,,,3.0,0.0,2016
second-round,07/08/2016,21:30,PERUGIA,1,0,ALESSANDRIA,,,,,3.0,0.0,2016
second-round,07/08/2016,21:45,CESENA,2,0,AREZZO,,,,,3.0,0.0,2016
second-round,07/08/2016,21:45,LATINA,1,0,MATERA,,,,,3.0,0.0,2016
second-round,08/08/2016,21:30,ASCOLI,2,2,LECCE,2,2,6,7,0.0,3.0,2016
third-round,12/08/2016,19:30,GENOA,3,2,LECCE,,,,,3.0,0.0,2016
third-round,12/08/2016,22:00,BOLOGNA,2,0,TRAPANI,,,,,3.0,0.0,2016
third-round,12/08/2016,22:00,PALERMO,0,0,BARI,1,0,,,3.0,0.0,2016
third-round,13/08/2016,20:30,UDINESE,2,3,SPEZIA,,,,,0.0,3.0,2016
third-round,13/08/2016,21:30,TORINO,4,1,PRO VERCELLI,,,,,3.0,0.0,2016
third-round,13/08/2016,21:30,PESCARA,2,0,FROSINONE,,,,,3.0,0.0,2016
third-round,13/08/2016,21:30,PERUGIA,2,1,CARPI,,,,,3.0,0.0,2016
third-round,13/08/2016,21:30,NOVARA,0,0,LATINA,1,0,,,3.0,0.0,2016
third-round,13/08/2016,21:45,ATALANTA,3,0,CREMONESE,,,,,3.0,0.0,2016
third-round,13/08/2016,21:45,EMPOLI,2,0,VICENZA,,,,,3.0,0.0,2016
third-round,13/08/2016,21:45,CESENA,2,0,TERNANA,,,,,3.0,0.0,2016
third-round,13/08/2016,21:45,CHIEVO,3,0,VIRTUS ENTELLA,,,,,3.0,0.0,2016
third-round,14/08/2016,20:00,SALERNITANA,1,1,PISA,1,1,3,4,0.0,3.0,2016
third-round,14/08/2016,21:45,VERONA,2,1,CROTONE,,,,,3.0,0.0,2016
third-round,14/08/2016,21:45,SAMPDORIA,3,0,BASSANO VIRTUS,,,,,3.0,0.0,2016
third-round,15/08/2016,22:00,CAGLIARI,5,1,SPAL,,,,,3.0,0.0,2016
fourth-round,29/11/2016,16:00,EMPOLI,1,1,CESENA,1,2,,,0.0,3.0,2016
fourth-round,29/11/2016,19:00,CHIEVO,3,0,NOVARA,,,,,3.0,0.0,2016
fourth-round,29/11/2016,22:00,TORINO,0,0,PISA,4,0,,,3.0,0.0,2016
fourth-round,30/11/2016,16:00,PALERMO,0,0,SPEZIA,0,0,4,5,0.0,3.0,2016
fourth-round,30/11/2016,19:00,ATALANTA,3,0,PESCARA,,,,,3.0,0.0,2016
fourth-round,30/11/2016,22:00,SAMPDORIA,3,0,CAGLIARI,,,,,3.0,0.0,2016
fourth-round,01/12/2016,19:00,GENOA,2,2,PERUGIA,4,3,,,3.0,0.0,2016
fourth-round,01/12/2016,22:00,BOLOGNA,4,0,VERONA,,,,,3.0,0.0,2016
round-16,10/01/2017,22:00,NAPOLI,3,1,SPEZIA,,,,,3.0,0.0,2016
round-16,11/01/2017,18:30,FIORENTINA,1,0,CHIEVO,,,,,3.0,0.0,2016
round-16,11/01/2017,21:45,JUVENTUS,3,2,ATALANTA,,,,,3.0,0.0,2016
round-16,12/01/2017,22:00,AC MILAN,2,1,TORINO,,,,,3.0,0.0,2016
round-16,17/01/2017,22:00,INTER,2,2,BOLOGNA,3,2,,,3.0,0.0,2016
round-16,18/01/2017,18:30,SASSUOLO,1,2,CESENA,,,,,0.0,3.0,2016
round-16,18/01/2017,22:00,LAZIO,4,2,GENOA,,,,,3.0,0.0,2016
round-16,19/01/2017,22:00,ROMA,4,0,SAMPDORIA,,,,,3.0,0.0,2016
quarter-finals,24/01/2017,21:45,NAPOLI,1,0,FIORENTINA,,,,,3.0,0.0,2016
quarter-finals,25/01/2017,21:45,JUVENTUS,2,1,AC MILAN,,,,,3.0,0.0,2016
quarter-finals,31/01/2017,21:45,INTER,1,2,LAZIO,,,,,0.0,3.0,2016
quarter-finals,01/02/2017,22:00,ROMA,2,1,CESENA,,,,,3.0,0.0,2016
semi-finals,28/02/2017,21:45,JUVENTUS,3,1,NAPOLI,,,,,3.0,0.0,2016
