Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,25/08/2007,19:00,LAZIO,2,2,TORINO,,,,,1.0,1.0,2007
ROUND 1,25/08/2007,21:30,JUVENTUS,5,1,LIVORNO,,,,,3.0,0.0,2007
ROUND 1,26/08/2007,16:00,REGGINA,1,1,ATALANTA,,,,,1.0,1.0,2007
ROUND 1,26/08/2007,16:00,PARMA,2,2,CATANIA,,,,,1.0,1.0,2007
ROUND 1,26/08/2007,16:00,ROBUR SIENA,1,2,SAMPDORIA,,,,,0.0,3.0,2007
ROUND 1,26/08/2007,16:00,INTER,1,1,UDINESE,,,,,1.0,1.0,2007
ROUND 1,26/08/2007,16:00,GENOA,0,3,AC MILAN,,,,,0.0,3.0,2007
ROUND 1,26/08/2007,16:00,NAPOLI,0,2,CAGLIARI,,,,,0.0,3.0,2007
ROUND 1,26/08/2007,16:00,FIORENTINA,3,1,EMPOLI,,,,,3.0,0.0,2007
ROUND 1,26/08/2007,21:30,PALERMO,0,2,ROMA,,,,,0.0,3.0,2007
ROUND 2,01/09/2007,21:30,EMPOLI,0,2,INTER,,,,,0.0,3.0,2007
ROUND 2,02/09/2007,16:00,ROMA,3,0,ROBUR SIENA,,,,,3.0,0.0,2007
ROUND 2,02/09/2007,16:00,LIVORNO,2,4,PALERMO,,,,,0.0,3.0,2007
ROUND 2,02/09/2007,16:00,UDINESE,0,5,NAPOLI,,,,,0.0,3.0,2007
ROUND 2,02/09/2007,16:00,TORINO,2,2,REGGINA,,,,,1.0,1.0,2007
ROUND 2,02/09/2007,16:00,CATANIA,0,0,GENOA,,,,,1.0,1.0,2007
ROUND 2,02/09/2007,16:00,CAGLIARI,2,3,JUVENTUS,,,,,0.0,3.0,2007
ROUND 2,02/09/2007,16:00,ATALANTA,2,0,PARMA,,,,,3.0,0.0,2007
ROUND 2,02/09/2007,21:30,SAMPDORIA,0,0,LAZIO,,,,,1.0,1.0,2007
ROUND 2,03/09/2007,19:00,AC MILAN,1,1,FIORENTINA,,,,,1.0,1.0,2007
ROUND 3,15/09/2007,19:00,ROBUR SIENA,1,1,AC MILAN,,,,,1.0,1.0,2007
ROUND 3,15/09/2007,21:30,LAZIO,0,0,EMPOLI,,,,,1.0,1.0,2007
ROUND 3,16/09/2007,16:00,PALERMO,1,1,TORINO,,,,,1.0,1.0,2007
ROUND 3,16/09/2007,16:00,NAPOLI,2,0,SAMPDORIA,,,,,3.0,0.0,2007
ROUND 3,16/09/2007,16:00,REGGINA,0,2,ROMA,,,,,0.0,3.0,2007
ROUND 3,16/09/2007,16:00,JUVENTUS,0,1,UDINESE,,,,,0.0,3.0,2007
ROUND 3,16/09/2007,16:00,INTER,2,0,CATANIA,,,,,3.0,0.0,2007
ROUND 3,16/09/2007,16:00,GENOA,1,1,LIVORNO,,,,,1.0,1.0,2007
ROUND 3,16/09/2007,16:00,FIORENTINA,2,2,ATALANTA,,,,,1.0,1.0,2007
ROUND 3,16/09/2007,21:30,PARMA,1,1,CAGLIARI,,,,,1.0,1.0,2007
ROUND 4,22/09/2007,19:00,UDINESE,2,0,REGGINA,,,,,3.0,0.0,2007
ROUND 4,22/09/2007,21:30,AC MILAN,1,1,PARMA,,,,,1.0,1.0,2007
ROUND 4,23/09/2007,16:00,LIVORNO,2,2,INTER,,,,,1.0,1.0,2007
ROUND 4,23/09/2007,16:00,TORINO,1,1,ROBUR SIENA,,,,,1.0,1.0,2007
ROUND 4,23/09/2007,16:00,ROMA,2,2,JUVENTUS,,,,,1.0,1.0,2007
ROUND 4,23/09/2007,16:00,EMPOLI,0,0,NAPOLI,,,,,1.0,1.0,2007
ROUND 4,23/09/2007,16:00,CATANIA,0,1,FIORENTINA,,,,,0.0,3.0,2007
ROUND 4,23/09/2007,16:00,CAGLIARI,0,1,PALERMO,,,,,0.0,3.0,2007
ROUND 4,23/09/2007,16:00,ATALANTA,2,1,LAZIO,,,,,3.0,0.0,2007
ROUND 4,23/09/2007,21:30,SAMPDORIA,0,0,GENOA,,,,,1.0,1.0,2007
ROUND 5,26/09/2007,21:30,LAZIO,3,1,CAGLIARI,,,,,3.0,0.0,2007
ROUND 5,26/09/2007,21:30,JUVENTUS,4,0,REGGINA,,,,,3.0,0.0,2007
ROUND 5,26/09/2007,21:30,PALERMO,2,1,AC MILAN,,,,,3.0,0.0,2007
ROUND 5,26/09/2007,21:30,NAPOLI,1,0,LIVORNO,,,,,3.0,0.0,2007
ROUND 5,26/09/2007,21:30,INTER,3,0,SAMPDORIA,,,,,3.0,0.0,2007
ROUND 5,26/09/2007,21:30,GENOA,3,2,UDINESE,,,,,3.0,0.0,2007
