Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
second-round,09/09/2015,19:00,MENSAJERO,0,0,CADIZ,0,1,,,0.0,3.0,2015
second-round,09/09/2015,19:00,EBRO,0,0,TUDELANO,1,0,,,3.0,0.0,2015
second-round,09/09/2015,20:30,HURACAN VALENCIA CF,2,0,UD SOCUELLAMOS CF,,,,,3.0,0.0,2015
second-round,09/09/2015,21:00,LAREDO,3,1,CULTURAL LEONESA,,,,,3.0,0.0,2015
second-round,09/09/2015,21:00,ALMERIA,2,2,ELCHE,3,3,4,3,3.0,0.0,2015
second-round,09/09/2015,21:15,BARAKALDO,3,1,FORMENTERA,,,,,3.0,0.0,2015
second-round,09/09/2015,21:30,LEGANES,2,0,TENERIFE,,,,,3.0,0.0,2015
second-round,09/09/2015,21:30,GIMNASTIC,2,2,GIRONA,2,2,5,4,3.0,0.0,2015
second-round,09/09/2015,21:30,LLEIDA ESPORTIU,2,0,GUIJUELO,,,,,3.0,0.0,2015
second-round,09/09/2015,21:30,NUMANCIA,0,1,ALAVES,,,,,0.0,3.0,2015
second-round,09/09/2015,21:30,ARANDINA CF,2,4,REUS,,,,,0.0,3.0,2015
second-round,09/09/2015,21:30,MIRANDES,1,2,OSASUNA,,,,,0.0,3.0,2015
second-round,09/09/2015,21:30,CORDOBA,0,1,LUGO,,,,,0.0,3.0,2015
second-round,09/09/2015,21:30,UCAM MURCIA,2,1,ALGECIRAS,,,,,3.0,0.0,2015
second-round,09/09/2015,21:30,ALCORCON,0,1,PONFERRADINA,,,,,0.0,3.0,2015
second-round,09/09/2015,21:30,LLAGOSTERA-COSTA BRAVA,1,1,ALBACETE,2,1,,,3.0,0.0,2015
second-round,09/09/2015,21:45,UD LOGRONES,2,1,LINARES,,,,,3.0,0.0,2015
second-round,09/09/2015,21:45,TALAVERA,0,2,REAL LINENSE,,,,,0.0,3.0,2015
second-round,09/09/2015,21:45,RACING DE FERROL,1,0,CASTELLON,,,,,3.0,0.0,2015
second-round,09/09/2015,22:00,VILLANOVENSE,3,2,PENA SPORT,,,,,3.0,0.0,2015
second-round,09/09/2015,23:00,OVIEDO,2,1,VALLADOLID,,,,,3.0,0.0,2015
second-round,10/09/2015,21:00,MALLORCA,0,2,HUESCA,,,,,0.0,3.0,2015
third-round,14/10/2015,21:30,OVIEDO,2,2,MIRANDES,2,3,,,0.0,3.0,2015
third-round,14/10/2015,21:30,LEGANES,3,1,ALAVES,,,,,3.0,0.0,2015
third-round,14/10/2015,21:30,ALMERIA,2,1,GIMNASTIC,,,,,3.0,0.0,2015
third-round,14/10/2015,21:30,CADIZ,1,0,LAREDO,,,,,3.0,0.0,2015
third-round,14/10/2015,21:30,REUS,1,1,LLEIDA ESPORTIU,2,1,,,3.0,0.0,2015
third-round,14/10/2015,21:30,BARAKALDO,1,0,HURACAN VALENCIA CF,,,,,3.0,0.0,2015
third-round,14/10/2015,21:45,UD LOGRONES,2,2,UCAM MURCIA,2,2,5,4,3.0,0.0,2015
third-round,14/10/2015,22:00,VILLANOVENSE,2,1,RACING DE FERROL,,,,,3.0,0.0,2015
third-round,14/10/2015,22:00,REAL LINENSE,2,0,EBRO,,,,,3.0,0.0,2015
third-round,15/10/2015,21:30,ZARAGOZA,1,2,LLAGOSTERA-COSTA BRAVA,,,,,0.0,3.0,2015
third-round,15/10/2015,21:30,PONFERRADINA,0,0,LUGO,1,0,,,3.0,0.0,2015
round-32,28/10/2015,21:30,VILLANOVENSE,0,0,BARCELONA,,,,,1.0,1.0,2015
round-32,01/12/2015,21:00,REUS,1,2,ATLETICO MADRID,,,,,0.0,3.0,2015
round-32,01/12/2015,22:00,LEGANES,2,1,GRANADA CF,,,,,3.0,0.0,2015
round-32,02/12/2015,21:00,BARCELONA,6,1,VILLANOVENSE,,,,,3.0,0.0,2015
round-32,02/12/2015,22:00,BETIS,2,0,SPORTING GIJON,,,,,3.0,0.0,2015
round-32,02/12/2015,22:00,RAYO VALLECANO,2,0,GETAFE,,,,,3.0,0.0,2015
round-32,02/12/2015,22:00,ALMERIA,1,3,CELTA VIGO,,,,,0.0,3.0,2015
round-32,02/12/2015,22:00,BARAKALDO,1,3,VALENCIA,,,,,0.0,3.0,2015
round-32,02/12/2015,22:00,UD LOGRONES,0,3,SEVILLA,,,,,0.0,3.0,2015
round-32,02/12/2015,22:00,LLAGOSTERA-COSTA BRAVA,1,2,DEPORTIVO LA CORUNA,,,,,0.0,3.0,2015
round-32,02/12/2015,23:00,CADIZ,1,3,REAL MADRID,,,,,0.0,3.0,2015
round-32,03/12/2015,21:00,REAL LINENSE,0,2,ATHLETIC BILBAO,,,,,0.0,3.0,2015
round-32,03/12/2015,22:00,LEVANTE,1,1,ESPANYOL,,,,,1.0,1.0,2015
round-32,03/12/2015,22:00,PONFERRADINA,3,0,EIBAR,,,,,3.0,0.0,2015
