Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team,Home_Score_AET,Away_Score_AET,Home_Penalties,Away_Penalties,Home_Points,Away_Points,season
ROUND 1,16/08/2019,22:00,ATHLETIC BILBAO,1,0,BARCELONA,,,,,3.0,0.0,2019
ROUND 1,17/08/2019,18:00,CELTA VIGO,1,3,REAL MADRID,,,,,0.0,3.0,2019
ROUND 1,17/08/2019,20:00,VALENCIA,1,1,REAL SOCIEDAD,,,,,1.0,1.0,2019
ROUND 1,17/08/2019,21:00,MALLORCA,2,1,EIBAR,,,,,3.0,0.0,2019
ROUND 1,17/08/2019,22:00,VILLARREAL,4,4,GRANADA CF,,,,,1.0,1.0,2019
ROUND 1,17/08/2019,22:00,LEGANES,0,1,OSASUNA,,,,,0.0,3.0,2019
ROUND 1,18/08/2019,18:00,ALAVES,1,0,LEVANTE,,,,,3.0,0.0,2019
ROUND 1,18/08/2019,20:00,ESPANYOL,0,2,SEVILLA,,,,,0.0,3.0,2019
ROUND 1,18/08/2019,22:00,BETIS,1,2,VALLADOLID,,,,,0.0,3.0,2019
ROUND 1,18/08/2019,23:00,ATLETICO MADRID,1,0,GETAFE,,,,,3.0,0.0,2019
ROUND 2,23/08/2019,21:00,GRANADA CF,0,1,SEVILLA,,,,,0.0,3.0,2019
ROUND 2,23/08/2019,23:00,LEVANTE,2,1,VILLARREAL,,,,,3.0,0.0,2019
ROUND 2,24/08/2019,18:00,OSASUNA,0,0,EIBAR,,,,,1.0,1.0,2019
ROUND 2,24/08/2019,20:00,REAL MADRID,1,1,VALLADOLID,,,,,1.0,1.0,2019
ROUND 2,24/08/2019,22:00,CELTA VIGO,1,0,VALENCIA,,,,,3.0,0.0,2019
ROUND 2,24/08/2019,22:00,GETAFE,1,1,ATHLETIC BILBAO,,,,,1.0,1.0,2019
ROUND 2,25/08/2019,18:00,MALLORCA,0,1,REAL SOCIEDAD,,,,,0.0,3.0,2019
ROUND 2,25/08/2019,18:00,ALAVES,0,0,ESPANYOL,,,,,1.0,1.0,2019
ROUND 2,25/08/2019,20:00,LEGANES,0,1,ATLETICO MADRID,,,,,0.0,3.0,2019
ROUND 2,25/08/2019,22:00,BARCELONA,5,2,BETIS,,,,,3.0,0.0,2019
ROUND 3,30/08/2019,21:00,SEVILLA,1,1,CELTA VIGO,,,,,1.0,1.0,2019
ROUND 3,30/08/2019,23:00,ATHLETIC BILBAO,2,0,REAL SOCIEDAD,,,,,3.0,0.0,2019
ROUND 3,31/08/2019,18:00,OSASUNA,2,2,BARCELONA,,,,,1.0,1.0,2019
ROUND 3,31/08/2019,20:00,GETAFE,1,1,ALAVES,,,,,1.0,1.0,2019
ROUND 3,31/08/2019,20:00,LEVANTE,2,0,VALLADOLID,,,,,3.0,0.0,2019
ROUND 3,31/08/2019,22:00,BETIS,2,1,LEGANES,,,,,3.0,0.0,2019
ROUND 3,01/09/2019,18:00,VALENCIA,2,0,MALLORCA,,,,,3.0,0.0,2019
ROUND 3,01/09/2019,20:00,ESPANYOL,0,3,GRANADA CF,,,,,0.0,3.0,2019
ROUND 3,01/09/2019,20:00,ATLETICO MADRID,3,2,EIBAR,,,,,3.0,0.0,2019
ROUND 3,01/09/2019,22:00,VILLARREAL,2,2,REAL MADRID,,,,,1.0,1.0,2019
ROUND 4,13/09/2019,22:00,MALLORCA,0,0,ATHLETIC BILBAO,,,,,1.0,1.0,2019
ROUND 4,14/09/2019,14:00,REAL MADRID,3,2,LEVANTE,,,,,3.0,0.0,2019
ROUND 4,14/09/2019,17:00,LEGANES,0,3,VILLARREAL,,,,,0.0,3.0,2019
ROUND 4,14/09/2019,19:30,REAL SOCIEDAD,2,0,ATLETICO MADRID,,,,,3.0,0.0,2019
ROUND 4,14/09/2019,22:00,BARCELONA,5,2,VALENCIA,,,,,3.0,0.0,2019
ROUND 4,15/09/2019,13:00,EIBAR,1,2,ESPANYOL,,,,,0.0,3.0,2019
ROUND 4,15/09/2019,15:00,ALAVES,0,1,SEVILLA,,,,,0.0,3.0,2019
ROUND 4,15/09/2019,17:00,CELTA VIGO,0,2,GRANADA CF,,,,,0.0,3.0,2019
ROUND 4,15/09/2019,19:30,VALLADOLID,1,1,OSASUNA,,,,,1.0,1.0,2019
ROUND 4,15/09/2019,22:00,BETIS,1,1,GETAFE,,,,,1.0,1.0,2019
ROUND 5,20/09/2019,22:00,OSASUNA,0,0,BETIS,,,,,1.0,1.0,2019
ROUND 5,21/09/2019,14:00,VILLARREAL,2,0,VALLADOLID,,,,,3.0,0.0,2019
ROUND 5,21/09/2019,17:00,LEVANTE,0,0,EIBAR,,,,,1.0,1.0,2019
